-0.30000E+01 -0.12816E-07
-0.31000E+01 -0.12816E-07
-0.32000E+01 -0.12816E-07
-0.33000E+01 -0.12816E-07
-0.34000E+01 -0.12816E-07
-0.35000E+01 -0.12816E-07
-0.36000E+01 -0.12816E-07
-0.37000E+01 -0.12816E-07
-0.38000E+01 -0.12816E-07
-0.39000E+01 -0.12816E-07
-0.40000E+01 -0.12816E-07
-0.41000E+01 -0.12816E-07
-0.42000E+01 -0.12816E-07
-0.43000E+01 -0.12816E-07
-0.44000E+01 -0.12816E-07
-0.45000E+01 -0.12816E-07
-0.46000E+01 -0.12816E-07
-0.47000E+01 -0.12816E-07
-0.48000E+01 -0.12816E-07
-0.49000E+01 -0.12816E-07
-0.50000E+01 -0.12816E-07
-0.51000E+01 -0.12816E-07
-0.52000E+01 -0.12816E-07
-0.53000E+01 -0.12816E-07
-0.54000E+01 -0.12816E-07
-0.55000E+01 -0.12816E-07
-0.56000E+01 -0.12816E-07
-0.57000E+01 -0.12816E-07
-0.58000E+01 -0.12816E-07
-0.59000E+01 -0.12816E-07
-0.60000E+01 -0.12816E-07
-0.61000E+01 -0.12816E-07
-0.62000E+01 -0.12816E-07
-0.63000E+01 -0.12816E-07
-0.64000E+01 -0.12816E-07
-0.65000E+01 -0.12816E-07
-0.66000E+01 -0.12816E-07
-0.67000E+01 -0.12816E-07
-0.68000E+01 -0.12816E-07
-0.69000E+01 -0.12816E-07
-0.70000E+01 -0.12816E-07
-0.71000E+01 -0.12816E-07
-0.72000E+01 -0.12816E-07
-0.73000E+01 -0.12816E-07
-0.74000E+01 -0.12816E-07
-0.75000E+01 -0.12816E-07
-0.76000E+01 -0.12816E-07
-0.77000E+01 -0.12816E-07
-0.78000E+01 -0.12816E-07
-0.79000E+01 -0.12816E-07
-0.80000E+01 -0.12816E-07
 zone T = "Var            2 : Predicted",
 0.00000E+00  0.99984E+00
-0.10000E+00  0.99984E+00
-0.20000E+00  0.99984E+00
-0.30000E+00  0.99984E+00
-0.40000E+00  0.99984E+00
-0.50000E+00  0.99984E+00
-0.60000E+00  0.99984E+00
-0.70000E+00  0.99984E+00
-0.80000E+00  0.99984E+00
-0.90000E+00  0.99984E+00
-0.10000E+01  0.99984E+00
-0.11000E+01  0.99984E+00
-0.12000E+01  0.99984E+00
-0.13000E+01  0.99984E+00
-0.14000E+01  0.99984E+00
-0.15000E+01  0.99984E+00
-0.16000E+01  0.99984E+00
-0.17000E+01  0.99984E+00
-0.18000E+01  0.99984E+00
-0.19000E+01  0.99984E+00
-0.20000E+01  0.99984E+00
-0.21000E+01  0.99984E+00
-0.22000E+01  0.99984E+00
-0.23000E+01  0.99984E+00
-0.24000E+01  0.99984E+00
-0.25000E+01  0.99984E+00
-0.26000E+01  0.99984E+00
-0.27000E+01  0.99984E+00
-0.28000E+01  0.99984E+00
-0.29000E+01  0.99984E+00
-0.30000E+01  0.99984E+00
-0.31000E+01  0.99984E+00
-0.32000E+01  0.99984E+00
-0.33000E+01  0.99984E+00
-0.34000E+01  0.99984E+00
-0.35000E+01  0.99984E+00
-0.36000E+01  0.99984E+00
-0.37000E+01  0.99984E+00
-0.38000E+01  0.99984E+00
-0.39000E+01  0.99984E+00
-0.40000E+01  0.99984E+00
-0.41000E+01  0.99984E+00
-0.42000E+01  0.99984E+00
-0.43000E+01  0.99984E+00
-0.44000E+01  0.99984E+00
-0.45000E+01  0.99984E+00
-0.46000E+01  0.99984E+00
-0.47000E+01  0.99984E+00
-0.48000E+01  0.99984E+00
-0.49000E+01  0.99984E+00
-0.50000E+01  0.99984E+00
-0.51000E+01  0.99984E+00
-0.52000E+01  0.99984E+00
-0.53000E+01  0.99984E+00
-0.54000E+01  0.99984E+00
-0.55000E+01  0.99984E+00
-0.56000E+01  0.99984E+00
-0.57000E+01  0.99984E+00
-0.58000E+01  0.99984E+00
-0.59000E+01  0.99984E+00
-0.60000E+01  0.99984E+00
-0.61000E+01  0.99984E+00
-0.62000E+01  0.99984E+00
-0.63000E+01  0.99984E+00
-0.64000E+01  0.99984E+00
-0.65000E+01  0.99984E+00
-0.66000E+01  0.99984E+00
-0.67000E+01  0.99984E+00
-0.68000E+01  0.99984E+00
-0.69000E+01  0.99984E+00
-0.70000E+01  0.99984E+00
-0.71000E+01  0.99984E+00
-0.72000E+01  0.99984E+00
-0.73000E+01  0.99984E+00
-0.74000E+01  0.99984E+00
-0.75000E+01  0.99984E+00
-0.76000E+01  0.99984E+00
-0.77000E+01  0.99984E+00
-0.78000E+01  0.99984E+00
-0.79000E+01  0.99984E+00
-0.80000E+01  0.99984E+00
